OBJECTID,TYPE,NAME,ZD_NAME,FULL_NAME,DISTRICT_NO
2215,,,ALTADENA,ZD: ALTADENA,3
2216,,,ALTADENA,ZD: ALTADENA,3
2217,,,ALTADENA,ZD: ALTADENA,3
2218,,,ANTELOPE VALLEY EAST,ZD: ANTELOPE VALLEY EAST,116
2219,,,ANTELOPE VALLEY EAST,ZD: ANTELOPE VALLEY EAST,116
2220,,,ANTELOPE VALLEY EAST,ZD: ANTELOPE VALLEY EAST,116
2221,,,ANTELOPE VALLEY EAST,ZD: ANTELOPE VALLEY EAST,116
2222,,,ANTELOPE VALLEY WEST,ZD: ANTELOPE VALLEY WEST,115
2223,,,ANTELOPE VALLEY WEST,ZD: ANTELOPE VALLEY WEST,115
2224,,,ANTELOPE VALLEY WEST,ZD: ANTELOPE VALLEY WEST,115
2225,,,ARTESIA,ZD: ARTESIA,93
2226,,,ARTESIA,ZD: ARTESIA,93
2227,,,ATHENS,ZD: ATHENS,57
2228,,,AZUSA - GLENDORA,ZD: AZUSA - GLENDORA,61
2229,,,AZUSA - GLENDORA,ZD: AZUSA - GLENDORA,61
2230,,,AZUSA - GLENDORA,ZD: AZUSA - GLENDORA,61
2231,,,AZUSA - GLENDORA,ZD: AZUSA - GLENDORA,61
2232,,,AZUSA - GLENDORA,ZD: AZUSA - GLENDORA,61
2233,,,AZUSA - GLENDORA,ZD: AZUSA - GLENDORA,61
2234,,,AZUSA - GLENDORA,ZD: AZUSA - GLENDORA,61
2235,,,AZUSA - GLENDORA,ZD: AZUSA - GLENDORA,61
2236,,,BALDWIN HILLS,ZD: BALDWIN HILLS,69
2237,,,BANDINI,ZD: BANDINI,81
2238,,,BANDINI,ZD: BANDINI,81
2239,,,BOUQUET CANYON,ZD: BOUQUET CANYON,119
2240,,,CARSON,ZD: CARSON,105
2241,,,CASTAIC CANYON,ZD: CASTAIC CANYON,100
2242,,,CENTRAL GARDENS,ZD: CENTRAL GARDENS,41
2243,,,CHARTER OAK,ZD: CHARTER OAK,87
2244,,,CHARTER OAK,ZD: CHARTER OAK,87
2245,,,CHARTER OAK,ZD: CHARTER OAK,87
2246,,,CHARTER OAK,ZD: CHARTER OAK,87
2247,,,CHARTER OAK,ZD: CHARTER OAK,87
